HAGRID,Species,Name,Longevity,Kingdom,Phylum,Class,Order,Family,Genus,Maximum longevity,Female sexual maturity,Male sexual maturity,Gestation,Weaning,Litter size,Litters per year,Inter-litter interval,Weight at birth,Weight at weaning,Adult weight,Postnatal growth rate,Maximum longevity residual,Typical body temperature,Basal metabolic rate,Body mass,Metabolic rate per body mass,Taxonomy,Common name,Source,Sample size,Data quality,Observations,Integrated Taxonomic Information System,Animal Diversity Web,Encyclopaedia of Life,NCBI Taxonomy,Entrez,Ageing Literature,Images,Internet,Synonyms,,Incubation,Clutch size,Clutches per year,Weight at hatching,IMR,MRDT,Metamorphosis,Resting metabolic rate,Interbirth interval,Clutch or litter size,Breedings per year,GenAge,GenDR
3242,Orycteropus afer,Aardvark,29.8, Animalia, Chordata, Mammalia (Taxon entry), Tubulidentata, Orycteropodidae, Orycteropus,29.8 years  (captivity),730 days,730 days,225 days,103 days,1  (viviparous),1,365 days,"1,800 g","6,250 g","60,000 g",0.0094 days-1 (from Gompertz function),113%,308ºK or 34.5ºC or 94.1ºF,34.2750 W,48000.0 g,0.000714 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Tubulidentata
                Family: Orycteropodidae
                    Genus: Orycteropus",Aardvark,ref. 671,Medium,Acceptable,One captive specimen lived for 29.8 years [0671].,ITIS 584927,ADW account,Search EOL,Taxonomy ID 9818,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
2161,Proteles cristata,Aardwolf,20, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Hyaenidae, Proteles,20 years  (captivity),631 days,,84 days,132 days,2.5  (viviparous),,,275 g,,"10,000 g",,100%,310ºK or 36.4ºC or 97.5ºF,11.5630 W,7902.6 g,0.001463 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Hyaenidae
                    Genus: Proteles",Aardwolf,ref. 671,Small,Acceptable,One wild born female was about 20 years old when she died in captivity [0671].,ITIS 726269,ADW account,Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Proteles cristatus,,,,,,,,,,,,,,
3296,Chilabothrus exsul,Abaco Island boa,21.7, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Boidae, Chilabothrus,21.7 years  (captivity),,,,,,,,,,,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Reptilia (Taxon entry)
            Order: Squamata
                Family: Boidae
                    Genus: Chilabothrus",Abaco Island boa,ref. 485,Small,Acceptable,No observations are presently available,ITIS 951216,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Epicrates exsul,No information is available on life history. Please contact us if you wish to suggest or contribute data.,,,,,,,,,,,,,
570,Ciconia abdimii,Abdim's stork,21.6, Animalia, Chordata, Aves (Taxon entry), Ciconiiformes, Ciconiidae, Ciconia,21.6 years  (captivity),,,,,,,,,,"1,398 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Ciconiiformes
                Family: Ciconiidae
                    Genus: Ciconia",Abdim's stork,ref. 668,Medium,Acceptable,One captive specimen lived for 21.6 years [0668].,ITIS 174906,ADW account  (if available),Search EOL,Taxonomy ID 39789,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,(oviparous),,,,,,,,,,,
3159,Sciurus aberti,Abert's squirrel,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Sciuridae, Sciurus,Not yet established,327 days,,43 days,76 days,3.5  (viviparous),1.5,,12 g,355 g,702.5 g,,,314ºK or 40.7ºC or 105.3ºF,2.4020 W,624.0 g,0.003849 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Sciuridae
                    Genus: Sciurus",Abert's squirrel,,,,"Little is known about the longevity of these animals, but one specimen lived 7 years in captivity [0671].",ITIS 180173,ADW account  (if available),Search EOL,Taxonomy ID 10007,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
1180,Melozone aberti,Abert's towhee,8.6, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Passerellidae, Melozone,8.6 years  (wild),365 days,365 days,,,,,,,,46 g,0.476 days-1 (from logistic function),,Not yet available,0.7342 W,46.6 g,0.015756 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Passerellidae
                    Genus: Melozone",Abert's towhee,ref. 580,Medium,Acceptable,No observations are presently available,ITIS 997739,ADW account  (if available),Search EOL,Taxonomy ID 40201,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Pipilo aberti,  Kieneria aberti",,14 days,3  (oviparous),1.5,3.63 g,,,,,,,,,
2260,Genetta abyssinica,Abyssinian genet,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Viverridae, Genetta,Not yet established,,,,,(viviparous),,,,,"1,650 g",,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Carnivora
                Family: Viverridae
                    Genus: Genetta",Abyssinian genet,,,,"Little is known about the longevity of these animals, but one specimen lived 13.8 years in captivity [0671].",ITIS 621989,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
3091,Thallomys paedulcus,Acacia rat,Not yet established, Animalia, Chordata, Mammalia (Taxon entry), Rodentia, Muridae, Thallomys,Not yet established,109 days,,26 days,30 days,3.5  (viviparous),,26 days,2.65 g,,80 g,,,310ºK or 36.7ºC or 98.1ºF,0.4870 W,132.4 g,0.003678 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Rodentia
                Family: Muridae
                    Genus: Thallomys",Acacia rat,,,,"The longevity of these animals has not been studied in detail. Nonetheless, one captive specimen lived for 3.5 years [0671].",ITIS 585595,ADW account  (if available),Search EOL,Taxonomy ID 332673,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,"Mus moggi,  Thamnomys ruddi,  Thallomys stevensoni,  Thallomys zambesiana,  Mus moggi acaciae,  Thallomys moggi lebomboensis",,,,,,,,,,,,,,
1323,Empidonax virescens,Acadian flycatcher,12.1, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Tyrannidae, Empidonax,12.1 years  (wild),365 days,365 days,,,,,,,,12.6 g,,,Not yet available,0.1795 W,12.3 g,0.014593 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Tyrannidae
                    Genus: Empidonax",Acadian flycatcher,ref. 427,Medium,Acceptable,No observations are presently available,ITIS 178339,ADW account,Search EOL,Taxonomy ID 209628,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,13 days,3  (oviparous),1,1.9 g,,,,,,,,,
1419,Melanerpes formicivorus,Acorn woodpecker,17.2, Animalia, Chordata, Aves (Taxon entry), Piciformes, Picidae, Melanerpes,17.2 years  (wild),694 days,766 days,,,,,,,,79.7 g,,,Not yet available,0.7370 W,73.0 g,0.010096 W/g,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Piciformes
                Family: Picidae
                    Genus: Melanerpes",Acorn woodpecker,ref. 427,Medium,Acceptable,No observations are presently available,ITIS 178189,ADW account  (if available),Search EOL,Taxonomy ID 211600,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,14 days,4  (oviparous),2,4.7 g,,,,,,,,,
1896,Addax nasomaculatus,Addax,28, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Addax,28 years  (captivity),"1,065 days",,282 days,198 days,1  (viviparous),1,355 days,"5,600 g",,"92,500 g",,99%,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Mammalia (Taxon entry)
            Order: Artiodactyla
                Family: Bovidae
                    Genus: Addax",Addax,ref. 671,Large,High,One wild born specimen was about 28 years old when it died in captivity [0671].,ITIS 625175,ADW account  (if available),Search EOL,Taxonomy ID 59515,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,,,,,,,,,,,,,,,
1143,Setophaga adelaidae,Adelaide's warbler,10.6, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Parulidae, Setophaga,10.6 years  (wild),,,,,,,,,,7 g,,,,,,,"Kingdom: Animalia
    Phylum: Chordata
        Class: Aves (Taxon entry)
            Order: Passeriformes
                Family: Parulidae
                    Genus: Setophaga",Adelaide's warbler,ref. 0427,Medium,Acceptable,No observations are presently available,ITIS 950053,ADW account  (if available),Search EOL,,Search all databases,Search Google Scholar or Search PubMed,Google Image search,Search Google,Dendroica adelaidae,,,(oviparous),,,,,,,,,,,
