HAGRID,Species,Name,Longevity,Kingdom,Phylum,Class,Order,Family,Genus,Female sexual maturity,Male sexual maturity,Gestation,Weaning,Litter size,Litters per year,Inter-litter interval,Weight at birth,Weight at weaning,Adult weight,Postnatal growth rate,Typical body temperature,Basal metabolic rate,Body mass,Metabolic rate per body mass,Incubation,Clutch size,Clutches per year,Weight at hatching,IMR,MRDT,Metamorphosis,Resting metabolic rate,Interbirth interval,Clutch or litter size,Breedings per year
3242,Orycteropus afer,Aardvark,29.8, Animalia, Chordata, Mammalia (Taxon entry), Tubulidentata, Orycteropodidae, Orycteropus,730.0,730.0,225.0,103.0,1.0,1.0,365.0,1800.0,6250.0,60000.0,0.00941,308,34.275,48000.0,0.000714,,,,,,,,,,,
2161,Proteles cristata,Aardwolf,20, Animalia, Chordata, Mammalia (Taxon entry), Carnivora, Hyaenidae, Proteles,631.0,,84.0,132.0,2.5,,,275.0,,10000.0,,310,11.563,7902.6,0.001463,,,,,,,,,,,
3296,Chilabothrus exsul,Abaco Island boa,21.7, Animalia, Chordata, Reptilia (Taxon entry), Squamata, Boidae, Chilabothrus,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Ciconia abdimii,Abdim's stork,21.6, Animalia, Chordata, Aves (Taxon entry), Ciconiiformes, Ciconiidae, Ciconia,,,,,,,,,,1398.0,,,,,,,,,,,,,,,,
1896,Addax nasomaculatus,Addax,28, Animalia, Chordata, Mammalia (Taxon entry), Artiodactyla, Bovidae, Addax,1065.0,,282.0,198.0,1.0,1.0,355.0,5600.0,,92500.0,,,,,,,,,,,,,,,,
1143,Setophaga adelaidae,Adelaide's warbler,10.6, Animalia, Chordata, Aves (Taxon entry), Passeriformes, Parulidae, Setophaga,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
4443,Pegusa impar,Adriatic sole,12, Animalia, Chordata, Teleostei, Pleuronectiformes, Soleidae, Pegusa,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Paradactylodon mustersi,Afghanistan salamander,11, Animalia, Chordata, Amphibia (Taxon entry), Caudata, Hynobiidae, Paradactylodon,,,,,,,,,,,,,,,,,,,,,,,,,,
3989,Nothobranchius,African annual fishes,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,Adansonia digitata,African baobab,2500, Plantae (Taxon entry), Tracheophyta, Magnoliopsida, Malvales, Malvaceae, Adansonia,,,,,,,,,,,,,,,,,,,,,,,,,,
